Datetime,Distance,Flow Rate,humidity,rain,soil_moisture,temperature
2024/12/23 00:00:00,2.6,0.72,88.73,62.58,91.06,26.47
2024/12/23 00:00:05,2.61,0.89,96.44,62.87,92.62,26.16
2024/12/23 00:00:10,2.61,0.79,91.18,63.92,89.05,26.74
2024/12/23 00:00:15,2.62,0.8,94.95,63.08,95.91,26.76
2024/12/23 00:00:20,2.62,0.78,88.45,62.98,86.71,26.55
2024/12/23 00:00:25,2.62,0.6,98.71,63.61,88.83,26.17
2024/12/23 00:00:30,2.63,0.88,98.42,63.53,87.76,26.4
2024/12/23 00:00:35,2.64,0.63,88.56,63.45,95.68,26.9
2024/12/23 00:00:40,2.65,0.79,97.06,64.68,91.3,26.93
2024/12/23 00:00:45,2.65,0.63,85.44,62.99,88.58,27.0
2024/12/23 00:00:50,2.66,0.67,85.25,63.79,96.02,26.07
2024/12/23 00:00:55,2.67,0.88,89.06,63.95,93.66,26.7
2024/12/23 00:01:00,2.67,0.79,92.88,63.21,97.73,26.36
2024/12/23 00:01:05,2.68,0.68,99.44,64.02,87.4,26.24
2024/12/23 00:01:10,2.69,0.78,92.09,63.08,95.06,26.32
2024/12/23 00:01:15,2.68,0.7,95.23,64.06,93.55,26.84
2024/12/23 00:01:20,2.69,0.78,89.52,63.4,88.78,26.3
2024/12/23 00:01:25,2.68,0.86,96.25,63.77,91.51,26.03
2024/12/23 00:01:30,2.68,0.6,96.8,63.74,94.94,26.13
2024/12/23 00:01:35,2.69,0.61,89.75,63.49,94.65,26.38
2024/12/23 00:01:40,2.7,0.61,95.03,64.34,99.36,26.28
2024/12/23 00:01:45,2.7,0.65,96.22,63.41,88.48,26.78
2024/12/23 00:01:50,2.7,0.62,91.91,63.25,86.77,26.77
2024/12/23 00:01:55,2.7,0.86,91.68,64.72,99.63,26.23
2024/12/23 00:02:00,2.7,0.71,93.82,63.53,93.88,26.59
2024/12/23 00:02:05,2.69,0.81,86.34,63.54,86.64,26.64
2024/12/23 00:02:10,2.7,0.79,89.43,63.42,92.28,26.07
2024/12/23 00:02:15,2.7,0.79,85.1,62.7,98.22,26.35
2024/12/23 00:02:20,2.7,0.78,94.44,64.23,86.07,26.95
2024/12/23 00:02:25,2.7,0.69,87.36,63.91,88.88,26.89
2024/12/23 00:02:30,2.7,0.72,97.3,64.15,97.95,26.76
2024/12/23 00:02:35,2.7,0.7,94.46,64.45,85.19,26.99
2024/12/23 00:02:40,2.7,0.63,92.89,63.45,88.24,26.83
2024/12/23 00:02:45,2.7,0.75,90.61,63.39,97.58,26.95
2024/12/23 00:02:50,2.7,0.82,93.88,63.55,85.19,26.09
2024/12/23 00:02:55,2.7,0.69,97.77,63.14,88.5,26.85
2024/12/23 00:03:00,2.7,0.73,93.29,63.54,93.33,26.75
2024/12/23 00:03:05,2.7,0.69,96.76,63.31,89.54,26.01
2024/12/23 00:03:10,2.7,0.69,93.23,64.53,99.43,26.1
2024/12/23 00:03:15,2.69,0.62,87.11,63.8,98.24,26.07
2024/12/23 00:03:20,2.7,0.83,92.11,63.44,89.74,26.16
2024/12/23 00:03:25,2.7,0.9,95.35,63.18,90.22,26.89
2024/12/23 00:03:30,2.7,0.87,94.01,63.87,88.06,26.11
2024/12/23 00:03:35,2.7,0.9,91.3,62.91,88.15,26.05
2024/12/23 00:03:40,2.7,0.84,92.57,63.68,95.25,26.51
2024/12/23 00:03:45,2.7,0.88,98.9,63.51,97.06,26.35
2024/12/23 00:03:50,2.7,0.76,91.45,64.33,94.45,26.85
2024/12/23 00:03:55,2.7,0.84,94.15,63.47,99.85,26.82
2024/12/23 00:04:00,2.69,0.75,93.76,63.69,96.54,26.31
2024/12/23 00:04:05,2.7,0.82,98.76,63.24,95.73,26.82
2024/12/23 00:04:10,2.7,0.71,95.17,64.32,86.28,26.34
2024/12/23 00:04:15,2.7,0.68,92.4,64.23,89.09,26.16
2024/12/23 00:04:20,2.7,0.63,92.15,63.37,98.33,26.53
2024/12/23 00:04:25,2.7,0.74,95.23,64.24,96.88,26.12
2024/12/23 00:04:30,2.7,0.61,96.79,62.43,86.81,26.31
2024/12/23 00:04:35,2.7,0.76,92.18,62.91,97.44,26.5
2024/12/23 00:04:40,2.7,0.74,87.35,63.3,85.02,26.18
2024/12/23 00:04:45,2.69,0.89,99.51,63.69,97.39,26.68
2024/12/23 00:04:50,2.69,0.82,87.38,63.47,92.64,26.36
2024/12/23 00:04:55,2.7,0.8,96.69,63.98,98.15,26.16
2024/12/23 00:05:00,2.7,0.74,94.89,62.91,94.59,26.61
2024/12/23 00:05:05,2.7,0.77,92.75,64.01,85.13,26.26
2024/12/23 00:05:10,2.69,0.62,97.84,62.63,99.25,26.47
2024/12/23 00:05:15,2.7,0.75,96.33,63.76,95.92,26.27
2024/12/23 00:05:20,2.7,0.81,93.0,63.88,91.36,26.22
2024/12/23 00:05:25,2.7,0.72,87.25,62.64,91.19,26.87
2024/12/23 00:05:30,2.7,0.67,99.91,63.64,86.84,26.17
2024/12/23 00:05:35,2.69,0.71,98.69,63.23,91.77,26.65
2024/12/23 00:05:40,2.69,0.76,97.23,64.77,86.02,26.5
2024/12/23 00:05:45,2.7,0.63,97.44,62.76,94.95,26.54
2024/12/23 00:05:50,2.7,0.8,99.56,63.4,95.07,26.09
2024/12/23 00:05:55,2.7,0.75,96.84,63.7,85.8,26.09
2024/12/23 00:06:00,2.7,0.65,89.7,62.48,88.96,26.5
2024/12/23 00:06:05,2.7,0.64,90.3,63.11,86.44,26.89
