rain_level,year,month
0.7,1901,1
0.9,1901,2
0.5,1901,3
0.7,1901,4
0.9,1901,5
3.5,1901,6
3.5,1901,7
3.5,1901,8
3.5,1901,9
3.5,1901,10
3.5,1901,11
0.5,1901,12
0.7,1902,1
0.9,1902,2
0.5,1902,3
0.7,1902,4
0.9,1902,5
3.51,1902,6
3.51,1902,7
3.51,1902,8
3.51,1902,9
3.51,1902,10
3.51,1902,11
0.5,1902,12
0.7,1903,1
0.9,1903,2
0.5,1903,3
0.7,1903,4
0.9,1903,5
3.52,1903,6
3.52,1903,7
3.52,1903,8
3.52,1903,9
3.52,1903,10
3.52,1903,11
0.5,1903,12
0.7,1904,1
0.9,1904,2
0.5,1904,3
0.7,1904,4
0.9,1904,5
3.53,1904,6
3.53,1904,7
3.53,1904,8
3.53,1904,9
3.53,1904,10
3.53,1904,11
0.5,1904,12
0.7,1905,1
0.9,1905,2
0.5,1905,3
0.7,1905,4
0.9,1905,5
3.54,1905,6
3.54,1905,7
3.54,1905,8
3.54,1905,9
3.54,1905,10
3.54,1905,11
0.5,1905,12
0.7,1906,1
0.9,1906,2
0.5,1906,3
0.7,1906,4
0.9,1906,5
3.55,1906,6
3.55,1906,7
3.55,1906,8
3.55,1906,9
3.55,1906,10
3.55,1906,11
0.5,1906,12
0.7,1907,1
0.9,1907,2
0.5,1907,3
0.7,1907,4
0.9,1907,5
3.56,1907,6
3.56,1907,7
3.56,1907,8
3.56,1907,9
3.56,1907,10
3.56,1907,11
0.5,1907,12
0.7,1908,1
0.9,1908,2
0.5,1908,3
0.7,1908,4
0.9,1908,5
3.57,1908,6
3.57,1908,7
3.57,1908,8
3.57,1908,9
3.57,1908,10
3.57,1908,11
0.5,1908,12
0.7,1909,1
0.9,1909,2
0.5,1909,3
0.7,1909,4
0.9,1909,5
3.58,1909,6
3.58,1909,7
3.58,1909,8
3.58,1909,9
3.58,1909,10
3.58,1909,11
0.5,1909,12
0.7,1910,1
0.9,1910,2
0.5,1910,3
0.7,1910,4
0.9,1910,5
3.59,1910,6
3.59,1910,7
3.59,1910,8
3.59,1910,9
3.59,1910,10
3.59,1910,11
0.5,1910,12
0.7,1911,1
0.9,1911,2
0.5,1911,3
0.7,1911,4
0.9,1911,5
3.6,1911,6
3.6,1911,7
3.6,1911,8
3.6,1911,9
3.6,1911,10
3.6,1911,11
0.5,1911,12
0.7,1912,1
0.9,1912,2
0.5,1912,3
0.7,1912,4
0.9,1912,5
3.61,1912,6
3.61,1912,7
3.61,1912,8
3.61,1912,9
3.61,1912,10
3.61,1912,11
0.5,1912,12
0.7,1913,1
0.9,1913,2
0.5,1913,3
0.7,1913,4
0.9,1913,5
3.62,1913,6
3.62,1913,7
3.62,1913,8
3.62,1913,9
3.62,1913,10
3.62,1913,11
0.5,1913,12
0.7,1914,1
0.9,1914,2
0.5,1914,3
0.7,1914,4
0.9,1914,5
3.63,1914,6
3.63,1914,7
3.63,1914,8
3.63,1914,9
3.63,1914,10
3.63,1914,11
0.5,1914,12
0.7,1915,1
0.9,1915,2
0.5,1915,3
0.7,1915,4
0.9,1915,5
3.64,1915,6
3.64,1915,7
3.64,1915,8
3.64,1915,9
3.64,1915,10
3.64,1915,11
0.5,1915,12
0.7,1916,1
0.9,1916,2
0.5,1916,3
0.7,1916,4
0.9,1916,5
3.65,1916,6
3.65,1916,7
3.65,1916,8
3.65,1916,9
3.65,1916,10
3.65,1916,11
0.5,1916,12
0.7,1917,1
0.9,1917,2
0.5,1917,3
0.7,1917,4
0.9,1917,5
3.66,1917,6
3.66,1917,7
3.66,1917,8
3.66,1917,9
